episode,reward,avg_reward,step_count,reached_target,distance_to_target
1,2.4819691862263555,2.4819691862263555,125,True,0.14005782
2,1.4043323531641143,1.9431507696952348,127,True,0.13779318
3,2.173892838906576,2.020064792765682,129,True,0.10149662
4,1.422956520965623,1.8707877248156672,128,True,0.14058684
5,1.9322031180915662,1.8830708034708472,129,True,0.11028168
6,1.8404956090254125,1.8759749377299413,124,True,0.1404547
7,0.6250703939243042,1.6972742886148502,164,True,0.11298036
8,3.4171741864835767,1.912261775848441,104,True,0.14345144
9,1.3230050383998557,1.8467888050208205,111,True,0.13834737
10,0.9807829821547597,1.7601882227342145,138,True,0.14134516
11,0.8997626117124399,1.601967565282823,128,True,0.13755894
12,0.6364439051542674,1.5251787204818383,89,True,0.0913162
13,3.4619785797033087,1.6539872945615113,91,True,0.11795132
14,2.7810415176634073,1.7897957942312899,91,True,0.13731745
15,0.6136711088250486,1.6579425933046381,140,True,0.13851056
16,2.6508539351608142,1.738978425918178,104,True,0.10798055
17,1.583325027499065,1.8348038892756542,98,True,0.131354
18,1.5612765547333645,1.6492141261006332,146,True,0.13823617
19,3.73595087560176,1.8905087098208235,39,True,0.09606124
20,-267.7768571784691,-24.985255306241562,250,False,47.23186
21,-344.1796038852884,-59.49319195594164,250,False,43.014767
22,-184.51368785109335,-78.0082051315664,250,False,5.4813395
23,-282.1296083664351,-106.56736382618024,250,False,32.560913
24,-372.60526553717375,-144.10599453166395,250,False,70.04951
25,-213.44811778588894,-165.51217342113532,250,False,17.826704
26,-297.0291136310684,-195.48017017775828,250,False,97.175674
27,-407.18857602667356,-236.35736028317552,250,False,110.26633
28,-222.6498804249331,-258.77847598114215,250,False,23.003662
29,-360.2395850510007,-295.1760295738024,250,False,95.828766
30,-305.44556601903327,-298.94290045785885,250,False,44.932117
31,-407.33820365757924,-305.258760435088,250,True,93.12452
32,-100.76029597836816,-296.88342124781536,250,False,31.510727
33,-311.8496296453396,-299.85542337570587,250,False,42.275864
34,-280.3729012361457,-290.6321869456031,250,False,70.69485
35,-425.1041152250358,-311.7977866895178,250,False,70.11169
36,-135.04347268378888,-295.5992225947898,250,False,20.241411
37,-462.5970212105523,-301.1400671131777,250,False,119.809654
38,-462.997768936975,-325.17485596438183,250,False,148.6073
39,-0.8701643043083545,-289.2379138897126,250,True,2.6837752
40,-480.86250520247853,-306.77960780805716,250,False,141.28902
41,-461.01115325420517,-312.1469027677198,250,False,173.49821
42,-259.67309705252546,-328.0381828751355,250,False,92.826096
43,-434.72827763534394,-340.3260476741359,250,False,130.16399
44,-455.6920302056795,-357.85796057108934,250,False,271.8288
45,-414.74043625005976,-356.8215926735917,250,False,110.6988
46,-417.89284673127185,-385.10653007834,250,False,144.27832
47,-468.0627000903213,-385.65309796631686,250,False,101.27018
48,-383.1888756581957,-377.672208638439,250,False,63.979256
49,-82.21762942849996,-385.80695515085813,250,False,27.200928
50,-384.5022184480073,-376.17092647541097,250,False,69.53055
51,-434.9244693489421,-373.5622580848847,250,False,78.51454
52,-423.68129209057275,-389.96307758868943,250,False,157.82687
53,-365.8957995057799,-383.079829775733,250,False,72.19721
54,-438.7130370457518,-381.3819304597402,250,False,105.43658
55,-435.78407082274197,-383.4862939170084,250,False,142.4918
56,-415.26798891932174,-383.22380813581344,250,False,101.878654
57,-448.7094892460367,-381.288487051385,250,False,136.39516
58,-301.5606263181631,-373.1256621173817,250,False,57.538258
59,-436.78484817239257,-408.582383991771,250,True,97.18088
60,-385.844172350366,-408.7165793820069,250,False,39.75392
61,-179.51914166261017,-383.17604661337367,250,False,28.376965
62,-282.91029820884773,-369.0989472252012,250,False,42.566166
63,-300.73119511907674,-362.5824867865309,250,False,40.00446
64,-178.21467649025863,-336.5326507309816,250,False,42.58013
65,-29.10207922104067,-295.8644515708114,250,True,2.8947568
66,-42.548475803769584,-258.5925002592562,250,True,18.194393
67,-186.59699005868538,-232.3812503405211,250,True,15.974554
68,-42.87720506148408,-206.51290821485318,250,True,7.8807893
69,2.081231908247072,-162.6263002067892,51,True,0.11497156
70,-98.72570434675623,-133.9144534064282,250,True,18.958363
71,3.584307681849531,-115.60410847198223,40,True,0.106880054
72,-265.22975190264503,-113.83605384136197,250,False,58.659615
73,-172.13997085418387,-100.97693141487268,250,False,17.725677
74,-220.1449249818509,-105.16995626403191,250,False,55.98608
75,-194.34393727253558,-121.69414206918141,250,False,19.377804
76,-79.18305699404667,-125.3576001882091,250,True,10.827602
77,-366.9556684498668,-143.39346802732726,250,True,48.179543
78,-254.3733173332149,-164.54307925450036,250,True,20.011269
79,-109.57791600534956,-175.70899404586,250,True,4.843598
80,-359.3773744748554,-201.7741610586699,250,True,22.864807
81,-55.69889901803287,-207.70248172865817,250,True,10.206755
82,3.445400123647144,-180.83496652602892,30,True,0.083182186
83,-49.46384550597576,-168.5673539912081,250,True,3.8953404
84,-113.93084938013499,-157.94594643103653,250,True,27.05308
85,-338.0319477724986,-172.31474748103284,250,True,45.79634
86,-68.4209860589608,-171.23854038752424,250,True,21.762081
87,-193.95398066751738,-153.93837160928928,250,False,23.32869
